,date,actions
211,2020-12-30,[-49]
212,2020-12-31,[50]
213,2021-01-04,[-100]
214,2021-01-05,[98]
215,2021-01-06,[-18]
216,2021-01-07,[18]
217,2021-01-08,[-65]
218,2021-01-11,[66]
219,2021-01-12,[-7]
220,2021-01-13,[7]
221,2021-01-14,[-18]
222,2021-01-15,[18]
223,2021-01-19,[-18]
224,2021-01-20,[18]
225,2021-01-21,[-100]
226,2021-01-22,[100]
227,2021-01-25,[-98]
228,2021-01-26,[97]
229,2021-01-27,[-100]
230,2021-01-28,[99]
231,2021-01-29,[-18]
232,2021-02-01,[18]
233,2021-02-02,[-100]
234,2021-02-03,[100]
235,2021-02-04,[1]
236,2021-02-05,[-18]
237,2021-02-08,[18]
238,2021-02-09,[0]
239,2021-02-10,[1]
240,2021-02-11,[-100]
241,2021-02-12,[99]
242,2021-02-16,[-100]
243,2021-02-17,[98]
244,2021-02-18,[0]
245,2021-02-19,[-18]
246,2021-02-22,[19]
247,2021-02-23,[-100]
248,2021-02-24,[100]
249,2021-02-25,[1]
250,2021-02-26,[-100]
251,2021-03-01,[98]
252,2021-03-02,[-100]
253,2021-03-03,[100]
254,2021-03-04,[3]
255,2021-03-05,[-100]
256,2021-03-08,[100]
257,2021-03-09,[1]
258,2021-03-10,[-67]
259,2021-03-11,[66]
260,2021-03-12,[-100]
261,2021-03-15,[100]
262,2021-03-16,[-100]
263,2021-03-17,[98]
264,2021-03-18,[-49]
265,2021-03-19,[48]
266,2021-03-22,[-18]
267,2021-03-23,[18]
268,2021-03-24,[-57]
269,2021-03-25,[58]
270,2021-03-26,[-100]
271,2021-03-29,[99]
272,2021-03-30,[-100]
273,2021-03-31,[98]
274,2021-04-01,[0]
275,2021-04-05,[0]
276,2021-04-06,[0]
277,2021-04-07,[0]
278,2021-04-08,[0]
279,2021-04-09,[-18]
280,2021-04-12,[18]
281,2021-04-13,[-49]
282,2021-04-14,[50]
283,2021-04-15,[-64]
284,2021-04-16,[64]
285,2021-04-19,[-100]
286,2021-04-20,[100]
287,2021-04-21,[1]
288,2021-04-22,[-100]
289,2021-04-23,[98]
290,2021-04-26,[-18]
291,2021-04-27,[18]
292,2021-04-28,[-49]
293,2021-04-29,[49]
294,2021-04-30,[-80]
295,2021-05-03,[82]
296,2021-05-04,[-100]
297,2021-05-05,[100]
298,2021-05-06,[1]
299,2021-05-07,[-100]
300,2021-05-10,[100]
301,2021-05-11,[3]
302,2021-05-12,[-100]
303,2021-05-13,[99]
304,2021-05-14,[-49]
305,2021-05-17,[48]
306,2021-05-18,[-18]
307,2021-05-19,[18]
308,2021-05-20,[-18]
309,2021-05-21,[19]
310,2021-05-24,[-100]
311,2021-05-25,[99]
312,2021-05-26,[-80]
313,2021-05-27,[81]
314,2021-05-28,[-100]
315,2021-06-01,[100]
316,2021-06-02,[-100]
317,2021-06-03,[100]
318,2021-06-04,[1]
319,2021-06-07,[-100]
320,2021-06-08,[98]
321,2021-06-09,[-100]
322,2021-06-10,[97]
323,2021-06-11,[0]
324,2021-06-14,[0]
325,2021-06-15,[0]
326,2021-06-16,[0]
327,2021-06-17,[0]
328,2021-06-18,[0]
329,2021-06-21,[0]
330,2021-06-22,[0]
331,2021-06-23,[0]
332,2021-06-24,[0]
333,2021-06-25,[0]
334,2021-06-28,[-18]
335,2021-06-29,[18]
336,2021-06-30,[-18]
337,2021-07-01,[18]
338,2021-07-02,[-18]
339,2021-07-06,[17]
340,2021-07-07,[0]
341,2021-07-08,[0]
342,2021-07-09,[0]
343,2021-07-12,[0]
344,2021-07-13,[0]
345,2021-07-14,[0]
346,2021-07-15,[0]
347,2021-07-16,[0]
348,2021-07-19,[0]
349,2021-07-20,[0]
350,2021-07-21,[0]
351,2021-07-22,[0]
352,2021-07-23,[0]
353,2021-07-26,[0]
354,2021-07-27,[0]
355,2021-07-28,[0]
356,2021-07-29,[0]
357,2021-07-30,[-7]
358,2021-08-02,[8]
359,2021-08-03,[-100]
360,2021-08-04,[100]
361,2021-08-05,[-100]
362,2021-08-06,[100]
363,2021-08-09,[-18]
364,2021-08-10,[18]
365,2021-08-11,[0]
366,2021-08-12,[0]
367,2021-08-13,[0]
368,2021-08-16,[-18]
369,2021-08-17,[19]
370,2021-08-18,[-100]
371,2021-08-19,[100]
372,2021-08-20,[-67]
373,2021-08-23,[66]
374,2021-08-24,[-100]
375,2021-08-25,[100]
376,2021-08-26,[-100]
377,2021-08-27,[98]
378,2021-08-30,[-49]
379,2021-08-31,[48]
380,2021-09-01,[0]
381,2021-09-02,[0]
382,2021-09-03,[0]
383,2021-09-07,[0]
384,2021-09-08,[0]
385,2021-09-09,[0]
386,2021-09-10,[0]
387,2021-09-13,[0]
388,2021-09-14,[0]
389,2021-09-15,[0]
390,2021-09-16,[0]
391,2021-09-17,[0]
392,2021-09-20,[-7]
393,2021-09-21,[8]
394,2021-09-22,[-100]
395,2021-09-23,[98]
396,2021-09-24,[-18]
397,2021-09-27,[18]
398,2021-09-28,[-18]
399,2021-09-29,[18]
400,2021-09-30,[-18]
401,2021-10-01,[18]
402,2021-10-04,[-8]
403,2021-10-05,[8]
404,2021-10-06,[-18]
405,2021-10-07,[18]
406,2021-10-08,[-64]
407,2021-10-11,[65]
408,2021-10-12,[-100]
409,2021-10-13,[98]
410,2021-10-14,[0]
411,2021-10-15,[0]
412,2021-10-18,[0]
413,2021-10-19,[0]
414,2021-10-20,[0]
415,2021-10-21,[0]
416,2021-10-22,[0]
417,2021-10-25,[0]
418,2021-10-26,[0]
419,2021-10-27,[0]
420,2021-10-28,[0]
421,2021-10-29,[-18]
422,2021-11-01,[19]
423,2021-11-02,[-100]
424,2021-11-03,[97]
425,2021-11-04,[-8]
426,2021-11-05,[8]
427,2021-11-08,[-49]
428,2021-11-09,[48]
429,2021-11-10,[-80]
430,2021-11-11,[80]
431,2021-11-12,[-80]
432,2021-11-15,[79]
433,2021-11-16,[0]
434,2021-11-17,[0]
435,2021-11-18,[0]
436,2021-11-19,[0]
437,2021-11-22,[0]
438,2021-11-23,[-18]
439,2021-11-24,[18]
440,2021-11-26,[-18]
441,2021-11-29,[18]
442,2021-11-30,[-64]
443,2021-12-01,[65]
444,2021-12-02,[-67]
445,2021-12-03,[68]
446,2021-12-06,[-100]
447,2021-12-07,[97]
448,2021-12-08,[-83]
449,2021-12-09,[84]
450,2021-12-10,[-100]
451,2021-12-13,[100]
452,2021-12-14,[1]
453,2021-12-15,[-64]
454,2021-12-16,[66]
455,2021-12-17,[-100]
456,2021-12-20,[100]
457,2021-12-21,[1]
458,2021-12-22,[-49]
459,2021-12-23,[49]
460,2021-12-27,[-64]
461,2021-12-28,[64]
462,2021-12-29,[-100]
463,2021-12-30,[100]
464,2021-12-31,[-100]
465,2022-01-03,[97]
466,2022-01-04,[-18]
467,2022-01-05,[19]
468,2022-01-06,[-100]
469,2022-01-07,[100]
470,2022-01-10,[-100]
471,2022-01-11,[97]
472,2022-01-12,[-18]
473,2022-01-13,[19]
474,2022-01-14,[-100]
475,2022-01-18,[100]
476,2022-01-19,[2]
477,2022-01-20,[-100]
478,2022-01-21,[100]
479,2022-01-24,[6]
480,2022-01-25,[-100]
481,2022-01-26,[100]
482,2022-01-27,[-7]
483,2022-01-28,[7]
484,2022-01-31,[-67]
485,2022-02-01,[66]
486,2022-02-02,[-49]
487,2022-02-03,[53]
488,2022-02-04,[-49]
489,2022-02-07,[49]
490,2022-02-08,[-80]
491,2022-02-09,[80]
492,2022-02-10,[-80]
493,2022-02-11,[83]
494,2022-02-14,[-100]
495,2022-02-15,[99]
496,2022-02-16,[-100]
497,2022-02-17,[100]
498,2022-02-18,[2]
499,2022-02-22,[-100]
500,2022-02-23,[100]
501,2022-02-24,[3]
502,2022-02-25,[-64]
503,2022-02-28,[64]
504,2022-03-01,[-64]
505,2022-03-02,[64]
506,2022-03-03,[-100]
507,2022-03-04,[100]
508,2022-03-07,[1]
509,2022-03-08,[-67]
510,2022-03-09,[65]
511,2022-03-10,[-18]
512,2022-03-11,[18]
513,2022-03-14,[-7]
514,2022-03-15,[7]
515,2022-03-16,[-64]
516,2022-03-17,[62]
517,2022-03-18,[-49]
518,2022-03-21,[49]
519,2022-03-22,[-64]
520,2022-03-23,[65]
521,2022-03-24,[-100]
522,2022-03-25,[99]
523,2022-03-28,[-100]
524,2022-03-29,[99]
525,2022-03-30,[-18]
526,2022-03-31,[19]
527,2022-04-01,[-100]
528,2022-04-04,[97]
529,2022-04-05,[-100]
530,2022-04-06,[100]
531,2022-04-07,[3]
532,2022-04-08,[-100]
533,2022-04-11,[100]
534,2022-04-12,[2]
535,2022-04-13,[-100]
536,2022-04-14,[100]
537,2022-04-18,[2]
538,2022-04-19,[-67]
539,2022-04-20,[69]
540,2022-04-21,[-100]
541,2022-04-22,[100]
542,2022-04-25,[2]
543,2022-04-26,[-10]
544,2022-04-27,[10]
545,2022-04-28,[-18]
546,2022-04-29,[21]
547,2022-05-02,[-10]
548,2022-05-03,[10]
549,2022-05-04,[-10]
550,2022-05-05,[11]
551,2022-05-06,[-58]
552,2022-05-09,[61]
553,2022-05-10,[-18]
554,2022-05-11,[19]
555,2022-05-12,[-100]
556,2022-05-13,[94]
557,2022-05-16,[-44]
558,2022-05-17,[42]
559,2022-05-18,[0]
560,2022-05-19,[0]
561,2022-05-20,[0]
562,2022-05-23,[0]
563,2022-05-24,[0]
564,2022-05-25,[0]
565,2022-05-26,[0]
566,2022-05-27,[0]
567,2022-05-31,[0]
568,2022-06-01,[0]
569,2022-06-02,[0]
570,2022-06-03,[0]
571,2022-06-06,[16]
572,2022-06-07,[0]
573,2022-06-08,[0]
574,2022-06-09,[-22]
575,2022-06-10,[23]
576,2022-06-13,[-37]
577,2022-06-14,[38]
578,2022-06-15,[-44]
579,2022-06-16,[46]
580,2022-06-17,[-44]
581,2022-06-21,[43]
582,2022-06-22,[-40]
583,2022-06-23,[38]
584,2022-06-24,[-36]
585,2022-06-27,[37]
586,2022-06-28,[-25]
587,2022-06-29,[25]
588,2022-06-30,[-26]
589,2022-07-01,[25]
590,2022-07-05,[-12]
591,2022-07-06,[12]
592,2022-07-07,[0]
593,2022-07-08,[0]
594,2022-07-11,[0]
595,2022-07-12,[0]
596,2022-07-13,[0]
597,2022-07-14,[-1]
598,2022-07-15,[1]
599,2022-07-18,[0]
