,date,actions
1056,2024-05-10,[0]
1057,2024-05-13,[0]
1058,2024-05-14,[0]
1059,2024-05-15,[0]
1060,2024-05-16,[0]
1061,2024-05-17,[0]
1062,2024-05-20,[0]
1063,2024-05-21,[0]
1064,2024-05-22,[0]
1065,2024-05-23,[0]
1066,2024-05-24,[0]
1067,2024-05-28,[0]
1068,2024-05-29,[0]
1069,2024-05-30,[0]
1070,2024-05-31,[0]
1071,2024-06-03,[0]
1072,2024-06-04,[0]
1073,2024-06-05,[0]
1074,2024-06-06,[0]
1075,2024-06-07,[0]
1076,2024-06-10,[0]
1077,2024-06-11,[0]
1078,2024-06-12,[0]
1079,2024-06-13,[0]
1080,2024-06-14,[0]
1081,2024-06-17,[0]
1082,2024-06-18,[0]
1083,2024-06-20,[0]
1084,2024-06-21,[0]
1085,2024-06-24,[0]
1086,2024-06-25,[0]
1087,2024-06-26,[0]
1088,2024-06-27,[0]
1089,2024-06-28,[0]
1090,2024-07-01,[0]
1091,2024-07-02,[0]
1092,2024-07-03,[0]
1093,2024-07-05,[0]
1094,2024-07-08,[0]
1095,2024-07-09,[0]
1096,2024-07-10,[0]
1097,2024-07-11,[0]
1098,2024-07-12,[0]
1099,2024-07-15,[0]
1100,2024-07-16,[0]
1101,2024-07-17,[0]
1102,2024-07-18,[0]
1103,2024-07-19,[0]
1104,2024-07-22,[0]
1105,2024-07-23,[0]
1106,2024-07-24,[0]
1107,2024-07-25,[0]
1108,2024-07-26,[0]
1109,2024-07-29,[0]
1110,2024-07-30,[0]
1111,2024-07-31,[0]
1112,2024-08-01,[0]
1113,2024-08-02,[0]
1114,2024-08-05,[0]
1115,2024-08-06,[0]
1116,2024-08-07,[0]
1117,2024-08-08,[0]
1118,2024-08-09,[0]
1119,2024-08-12,[0]
1120,2024-08-13,[0]
1121,2024-08-14,[0]
1122,2024-08-15,[0]
1123,2024-08-16,[0]
1124,2024-08-19,[0]
1125,2024-08-20,[0]
1126,2024-08-21,[0]
1127,2024-08-22,[0]
1128,2024-08-23,[0]
1129,2024-08-26,[0]
1130,2024-08-27,[0]
1131,2024-08-28,[0]
1132,2024-08-29,[0]
1133,2024-08-30,[0]
1134,2024-09-03,[0]
1135,2024-09-04,[0]
1136,2024-09-05,[0]
1137,2024-09-06,[0]
1138,2024-09-09,[0]
1139,2024-09-10,[0]
1140,2024-09-11,[0]
1141,2024-09-12,[0]
1142,2024-09-13,[0]
1143,2024-09-16,[0]
1144,2024-09-17,[0]
1145,2024-09-18,[0]
1146,2024-09-19,[0]
1147,2024-09-20,[0]
1148,2024-09-23,[0]
1149,2024-09-24,[0]
1150,2024-09-25,[0]
1151,2024-09-26,[0]
1152,2024-09-27,[0]
1153,2024-09-30,[0]
1154,2024-10-01,[0]
1155,2024-10-02,[0]
1156,2024-10-03,[0]
1157,2024-10-04,[0]
1158,2024-10-07,[0]
1159,2024-10-08,[0]
1160,2024-10-09,[0]
1161,2024-10-10,[0]
1162,2024-10-11,[0]
1163,2024-10-14,[0]
1164,2024-10-15,[0]
1165,2024-10-16,[0]
1166,2024-10-17,[0]
1167,2024-10-18,[0]
1168,2024-10-21,[0]
1169,2024-10-22,[0]
1170,2024-10-23,[0]
1171,2024-10-24,[0]
1172,2024-10-25,[0]
1173,2024-10-28,[0]
1174,2024-10-29,[0]
1175,2024-10-30,[0]
1176,2024-10-31,[0]
1177,2024-11-01,[0]
1178,2024-11-04,[0]
1179,2024-11-05,[0]
1180,2024-11-06,[0]
1181,2024-11-07,[0]
1182,2024-11-08,[0]
1183,2024-11-11,[0]
1184,2024-11-12,[0]
1185,2024-11-13,[0]
1186,2024-11-14,[0]
1187,2024-11-15,[0]
1188,2024-11-18,[0]
1189,2024-11-19,[0]
1190,2024-11-20,[0]
1191,2024-11-21,[0]
1192,2024-11-22,[0]
1193,2024-11-25,[0]
1194,2024-11-26,[0]
1195,2024-11-27,[0]
1196,2024-11-29,[0]
1197,2024-12-02,[0]
1198,2024-12-03,[0]
1199,2024-12-04,[0]
1200,2024-12-05,[0]
1201,2024-12-06,[0]
1202,2024-12-09,[0]
1203,2024-12-10,[0]
1204,2024-12-11,[0]
1205,2024-12-12,[0]
1206,2024-12-13,[0]
1207,2024-12-16,[0]
1208,2024-12-17,[0]
1209,2024-12-18,[0]
1210,2024-12-19,[0]
1211,2024-12-20,[0]
1212,2024-12-23,[0]
1213,2024-12-24,[0]
1214,2024-12-26,[0]
1215,2024-12-27,[0]
1216,2024-12-30,[0]
1217,2024-12-31,[0]
1218,2025-01-02,[0]
1219,2025-01-03,[0]
1220,2025-01-06,[0]
1221,2025-01-07,[0]
1222,2025-01-08,[0]
1223,2025-01-10,[0]
1224,2025-01-13,[0]
1225,2025-01-14,[0]
1226,2025-01-15,[0]
1227,2025-01-16,[0]
1228,2025-01-17,[0]
1229,2025-01-21,[0]
1230,2025-01-22,[0]
1231,2025-01-23,[0]
1232,2025-01-24,[0]
1233,2025-01-27,[0]
1234,2025-01-28,[0]
1235,2025-01-29,[0]
1236,2025-01-30,[0]
1237,2025-01-31,[0]
1238,2025-02-03,[0]
1239,2025-02-04,[0]
1240,2025-02-05,[0]
1241,2025-02-06,[0]
1242,2025-02-07,[0]
1243,2025-02-10,[0]
1244,2025-02-11,[0]
1245,2025-02-12,[0]
1246,2025-02-13,[0]
1247,2025-02-14,[0]
1248,2025-02-18,[0]
1249,2025-02-19,[0]
1250,2025-02-20,[0]
1251,2025-02-21,[0]
1252,2025-02-24,[0]
1253,2025-02-25,[0]
1254,2025-02-26,[0]
1255,2025-02-27,[0]
