date,tic,close,high,low,open,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
2023-07-03,AAPL,190.80201721191406,193.8800048828125,191.75999450683594,193.77999877929688,31458200.0,0.0,4.1877729150109815,191.9761444021957,174.9722366402848,68.54542383346529,150.35047513352254,66.33766169443756,180.37066090901692,173.40402170817057,13.569999694824219,46.18170432551268
2023-07-03,ADBE,485.2099914550781,486.6099853515625,479.8399963378906,486.3900146484375,1491000.0,0.0,21.943735505247844,516.9003540745886,426.34764092052865,65.83807469468033,65.7699442126376,45.00982501413582,447.25099894205727,405.23216552734374,13.569999694824219,46.18170432551268
2023-07-03,ADI,188.47247314453125,196.5500030517578,192.27000427246094,193.97999572753906,1367600.0,0.0,2.5424149266735583,191.75718726615213,170.98032951851582,57.189714252984565,112.97088213741135,17.965590555027667,179.08626861572264,178.78116658528646,13.569999694824219,46.18170432551268
2023-07-03,ADP,210.56015014648438,219.22999572753906,216.25,218.22000122070312,848300.0,0.0,0.874143693997155,214.26532740325288,204.50128178864165,52.19402637428511,58.49582354747649,10.345254822528869,207.62456258138022,206.797385152181,13.569999694824219,46.18170432551268
2023-07-03,AMAT,143.39137268066406,145.91000366210938,143.3800048828125,144.02000427246094,2533600.0,0.0,4.286283703198535,145.30192998992925,129.88984704864498,63.83293868198557,127.04852406528175,47.431206203629266,134.59615325927734,123.80553067525229,13.569999694824219,46.18170432551268
2023-07-03,AMD,115.81999969482422,116.7300033569336,114.51000213623047,115.16000366210938,31860000.0,0.0,0.3579878464188937,130.90599793574873,104.3060031018489,55.612118235580155,-16.42599664196179,13.41751520277491,117.0173334757487,104.64383379618327,13.569999694824219,46.18170432551268
2023-07-03,AMGN,213.24217224121094,225.57000732421875,219.83999633789062,221.2100067138672,1479200.0,0.0,-0.5175479487701864,218.85861359654314,205.03280638636704,47.40827023597156,26.392968940733905,7.116720304813318,210.7661376953125,218.01881764729816,13.569999694824219,46.18170432551268
2023-07-03,AMZN,130.22000122070312,131.85000610351562,130.07000732421875,130.82000732421875,28264800.0,0.0,3.348047403670023,131.71999938912,121.99900009208116,62.90558686496205,115.31455724995523,34.89864565163196,124.1519999186198,115.04850018819174,13.569999694824219,46.18170432551268
2023-07-03,AVGO,85.35875701904297,87.6729965209961,86.49199676513672,86.86199951171875,9038000.0,0.0,3.346270046880889,87.85115395409944,75.70844840185758,69.0920619749465,89.6375851162271,48.767599951395304,78.67901941935222,69.79566542307536,13.569999694824219,46.18170432551268
2023-07-03,BKNG,2691.364990234375,2743.070068359375,2683.320068359375,2693.699951171875,179300.0,0.0,15.102339220587965,2695.0480806910687,2553.607705441744,55.47054815727385,121.89849229534448,18.439635454321984,2610.9966552734377,2614.49619140625,13.569999694824219,46.18170432551268
